市场代码,证券代码,时间,最新价,成交笔数,成交额,成交量,方向,买一价,买二价,买三价,买四价,买五价,卖一价,卖二价,卖三价,卖四价,卖五价,买一量,买二量,买三量,买四量,买五量,卖一量,卖二量,卖三量,卖四量,卖五量
SZ,002325,2017-01-03 09:25:03,8.0300,4,15257.0000,19,S,8.0300,8.0200,8.0100,8.0000,7.9900,8.0400,8.0500,8.0600,8.0700,8.0800,1432,44,539,74,97,10,79,26,20,77
SZ,002325,2017-01-03 09:30:03,8.0400,8,50703.0000,63,B,8.0400,8.0300,8.0200,8.0100,8.0000,8.0500,8.0600,8.0700,8.0800,8.0900,352,1564,52,535,143,27,26,75,89,228
SZ,002325,2017-01-03 09:30:06,8.0400,1,804.0000,1,S,8.0400,8.0300,8.0200,8.0100,8.0000,8.0500,8.0600,8.0700,8.0800,8.0900,392,1594,52,535,139,27,26,25,89,228
SZ,002325,2017-01-03 09:30:12,8.0500,1,805.0000,1,B,8.0400,8.0300,8.0200,8.0100,8.0000,8.0500,8.0600,8.0700,8.0800,8.0900,449,1600,52,535,139,26,26,25,99,228
SZ,002325,2017-01-03 09:30:21,8.0500,1,805.0000,1,B,8.0400,8.0300,8.0200,8.0100,8.0000,8.0500,8.0600,8.0700,8.0800,8.0900,410,1599,52,535,139,25,26,25,99,228
SZ,002325,2017-01-03 09:30:24,8.0500,1,20125.0000,25,B,8.0500,8.0400,8.0300,8.0200,8.0100,8.0600,8.0700,8.0800,8.0900,8.1000,175,410,1599,52,535,26,25,99,228,85
SZ,002325,2017-01-03 09:30:27,8.0800,5,51635.0000,64,B,8.0500,8.0400,8.0300,8.0200,8.0100,8.0800,8.0900,8.1000,8.1200,8.1300,175,410,1599,52,535,86,228,85,13,12
SZ,002325,2017-01-03 09:30:33,8.0800,1,808.0000,1,B,8.0600,8.0500,8.0400,8.0300,8.0200,8.0800,8.0900,8.1000,8.1200,8.1300,30,175,408,1599,52,85,228,85,13,12
SZ,002325,2017-01-03 09:30:36,8.0500,3,85360.0000,106,S,8.0500,8.0400,8.0300,8.0200,8.0100,8.0800,8.0900,8.1000,8.1200,8.1300,104,406,1599,52,535,85,228,85,13,12
SZ,002325,2017-01-03 09:30:39,8.0500,1,49105.0000,61,S,8.0500,8.0400,8.0300,8.0200,8.0100,8.0700,8.0800,8.0900,8.1000,8.1200,43,406,1599,52,535,25,85,228,85,13
SZ,002325,2017-01-03 09:30:42,8.0700,1,1614.0000,2,B,8.0500,8.0400,8.0300,8.0200,8.0100,8.0700,8.0800,8.0900,8.1000,8.1200,43,406,1599,52,535,23,285,238,85,13
SZ,002325,2017-01-03 09:30:45,8.0700,3,43605.0000,54,B,8.0500,8.0400,8.0300,8.0200,8.0100,8.0700,8.0800,8.0900,8.1000,8.1200,45,406,1599,52,535,29,278,238,85,13
SZ,002325,2017-01-03 09:30:48,8.0700,2,22596.0000,28,B,8.0500,8.0400,8.0300,8.0200,8.0100,8.0700,8.0800,8.0900,8.1000,8.1200,45,406,1599,52,535,2,392,238,85,13
SZ,002325,2017-01-03 09:30:51,8.0800,4,11310.0000,14,B,8.0700,8.0500,8.0400,8.0300,8.0200,8.0800,8.0900,8.1000,8.1200,8.1300,12,45,356,1599,52,550,238,85,13,18
SZ,002325,2017-01-03 09:30:57,8.0700,6,103412.0000,128,S,8.0500,8.0400,8.0300,8.0200,8.0100,8.0700,8.0800,8.0900,8.1000,8.1200,65,351,1599,52,535,338,449,238,95,13
SZ,002325,2017-01-03 09:31:12,8.0700,1,4035.0000,5,B,8.0500,8.0400,8.0300,8.0200,8.0100,8.0700,8.0800,8.0900,8.1000,8.1200,65,351,1689,52,535,439,459,238,66,13
SZ,002325,2017-01-03 09:31:15,8.0600,1,2418.0000,3,S,8.0500,8.0400,8.0300,8.0200,8.0100,8.0600,8.0700,8.0800,8.0900,8.1000,65,351,1689,52,535,27,439,459,238,66
SZ,002325,2017-01-03 09:31:24,8.0500,4,46690.0000,58,S,8.0500,8.0400,8.0300,8.0200,8.0100,8.0600,8.0700,8.0800,8.0900,8.1000,7,351,1689,52,535,71,439,459,275,66
SZ,002325,2017-01-03 09:31:39,8.0500,2,19320.0000,24,S,8.0400,8.0300,8.0200,8.0100,8.0000,8.0500,8.0600,8.0700,8.0800,8.0900,350,1689,52,535,166,26,79,439,571,275
SZ,002325,2017-01-03 09:31:57,8.0400,3,8844.0000,11,S,8.0400,8.0300,8.0200,8.0100,8.0000,8.0500,8.0600,8.0700,8.0800,8.0900,340,1694,102,535,171,181,223,466,571,275
SZ,002325,2017-01-03 09:32:00,8.0500,5,100625.0000,125,B,8.0400,8.0300,8.0200,8.0100,8.0000,8.0500,8.0600,8.0700,8.0800,8.0900,340,1694,102,535,171,56,223,466,571,275
SZ,002325,2017-01-03 09:32:18,8.0500,1,1610.0000,2,B,8.0400,8.0300,8.0200,8.0100,8.0000,8.0500,8.0600,8.0700,8.0800,8.0900,371,1695,102,535,171,114,223,466,571,184
SZ,002325,2017-01-03 09:32:27,8.0400,1,8040.0000,10,S,8.0400,8.0300,8.0200,8.0100,8.0000,8.0500,8.0600,8.0700,8.0800,8.0900,376,1695,102,519,171,114,223,466,571,184
SZ,002325,2017-01-03 09:32:33,8.0400,3,41855.0000,52,S,8.0400,8.0300,8.0200,8.0100,8.0000,8.0500,8.0600,8.0700,8.0800,8.0900,371,1695,102,519,171,67,223,466,571,184
SZ,002325,2017-01-03 09:32:39,8.0400,3,4824.0000,6,S,8.0400,8.0300,8.0200,8.0100,8.0000,8.0500,8.0600,8.0700,8.0800,8.0900,365,1695,102,519,171,67,223,466,581,184
SZ,002325,2017-01-03 09:32:45,8.0500,3,16100.0000,20,B,8.0400,8.0300,8.0200,8.0100,8.0000,8.0500,8.0600,8.0700,8.0800,8.0900,365,1695,102,519,171,47,223,466,581,184
SZ,002325,2017-01-03 09:32:48,8.0500,2,37835.0000,47,B,8.0500,8.0400,8.0300,8.0200,8.0100,8.0600,8.0700,8.0800,8.0900,8.1000,27,365,1695,102,519,223,466,581,184,131
SZ,002325,2017-01-03 09:32:54,8.0500,1,8050.0000,10,S,8.0500,8.0400,8.0300,8.0200,8.0100,8.0600,8.0700,8.0800,8.0900,8.1000,20,365,1695,102,519,323,466,581,184,131
SZ,002325,2017-01-03 09:32:57,8.0500,2,16100.0000,20,S,8.0500,8.0400,8.0300,8.0200,8.0100,8.0600,8.0700,8.0800,8.0900,8.1000,18,365,1695,102,519,323,466,581,184,131
SZ,002325,2017-01-03 09:33:09,8.0500,2,14490.0000,18,S,8.0400,8.0300,8.0200,8.0100,8.0000,8.0500,8.0600,8.0700,8.0800,8.0900,365,1695,96,519,171,102,324,466,591,184
SZ,002325,2017-01-03 09:33:12,8.0500,2,8050.0000,10,B,8.0400,8.0300,8.0200,8.0100,8.0000,8.0500,8.0600,8.0700,8.0800,8.0900,365,1695,96,519,171,92,331,466,591,184
SZ,002325,2017-01-03 09:33:15,8.0500,1,16100.0000,20,B,8.0400,8.0300,8.0200,8.0100,8.0000,8.0500,8.0600,8.0700,8.0800,8.0900,365,1695,96,519,171,72,331,466,591,184
SZ,002325,2017-01-03 09:33:30,8.0400,2,32160.0000,40,S,8.0400,8.0300,8.0200,8.0100,8.0000,8.0500,8.0600,8.0700,8.0800,8.0900,354,1695,96,519,171,72,336,133,641,184
SZ,002325,2017-01-03 09:33:33,8.0500,1,4025.0000,5,B,8.0400,8.0300,8.0200,8.0100,8.0000,8.0500,8.0600,8.0700,8.0800,8.0900,364,1695,96,519,171,67,336,133,641,232
SZ,002325,2017-01-03 09:33:36,8.0500,1,8050.0000,10,B,8.0400,8.0300,8.0200,8.0100,8.0000,8.0500,8.0600,8.0700,8.0800,8.0900,364,1695,96,519,171,57,336,146,641,232
SZ,002325,2017-01-03 09:33:45,8.0500,1,8050.0000,10,B,8.0400,8.0300,8.0200,8.0100,8.0000,8.0500,8.0600,8.0700,8.0800,8.0900,354,1695,96,519,171,47,336,146,641,232
SZ,002325,2017-01-03 09:33:57,8.0400,4,34582.0000,43,S,8.0400,8.0300,8.0200,8.0100,8.0000,8.0500,8.0600,8.0700,8.0800,8.0900,321,1698,96,519,171,58,336,146,661,232
SZ,002325,2017-01-03 09:34:00,8.0500,1,12075.0000,15,B,8.0400,8.0300,8.0200,8.0100,8.0000,8.0500,8.0600,8.0700,8.0800,8.0900,321,1698,96,519,171,43,336,167,661,232
SZ,002325,2017-01-03 09:34:21,8.0500,1,8050.0000,10,B,8.0400,8.0300,8.0200,8.0100,8.0000,8.0500,8.0600,8.0700,8.0800,8.0900,346,1698,96,519,197,40,336,304,661,240
SZ,002325,2017-01-03 09:34:39,8.0500,2,22540.0000,28,B,8.0400,8.0300,8.0200,8.0100,8.0000,8.0500,8.0600,8.0700,8.0800,8.0900,377,1987,101,519,221,32,336,343,661,240
SZ,002325,2017-01-03 09:34:48,8.0500,6,33005.0000,41,B,8.0400,8.0300,8.0200,8.0100,8.0000,8.0500,8.0600,8.0700,8.0800,8.0900,377,1994,101,519,221,91,336,343,661,240
SZ,002325,2017-01-03 09:34:51,8.0500,1,2415.0000,3,B,8.0400,8.0300,8.0200,8.0100,8.0000,8.0500,8.0600,8.0700,8.0800,8.0900,377,1994,101,519,221,88,336,343,661,240
SZ,002325,2017-01-03 09:34:57,8.0500,1,53935.0000,67,B,8.0400,8.0300,8.0200,8.0100,8.0000,8.0500,8.0600,8.0700,8.0800,8.0900,394,1994,101,519,221,21,336,343,661,240
SZ,002325,2017-01-03 09:35:03,8.0400,1,4020.0000,5,S,8.0400,8.0300,8.0200,8.0100,8.0000,8.0500,8.0600,8.0700,8.0800,8.0900,389,1994,101,519,241,48,336,343,661,240
SZ,002325,2017-01-03 09:35:06,8.0500,1,8050.0000,10,B,8.0400,8.0300,8.0200,8.0100,8.0000,8.0500,8.0600,8.0700,8.0800,8.0900,389,1994,101,519,241,38,336,343,661,240
SZ,002325,2017-01-03 09:35:12,8.0500,3,30590.0000,38,B,8.0500,8.0400,8.0300,8.0200,8.0100,8.0600,8.0700,8.0800,8.0900,8.1000,25,390,1994,101,519,336,343,661,240,187
SZ,002325,2017-01-03 09:35:15,8.0500,1,20125.0000,25,S,8.0400,8.0300,8.0200,8.0100,8.0000,8.0500,8.0600,8.0700,8.0800,8.0900,395,1994,101,519,291,15,336,343,661,240
SZ,002325,2017-01-03 09:35:21,8.0500,1,12075.0000,15,B,8.0500,8.0400,8.0300,8.0200,8.0100,8.0600,8.0700,8.0800,8.0900,8.1000,15,395,1994,101,538,336,343,661,240,187
SZ,002325,2017-01-03 09:35:24,8.0600,1,1612.0000,2,B,8.0500,8.0400,8.0300,8.0200,8.0100,8.0600,8.0700,8.0800,8.0900,8.1000,15,395,1994,101,538,334,343,661,240,187
SZ,002325,2017-01-03 09:35:27,8.0500,2,12075.0000,15,S,8.0400,8.0300,8.0200,8.0100,8.0000,8.0600,8.0700,8.0800,8.0900,8.1000,395,1994,101,538,291,334,343,666,240,187
